entity1	entity2	left	middle	right	article
Qualcomm	Apple	"
"	 has been a supplier of components to 	 for years but the relationship took a bad turn last year when Apple accused Qualcomm of overcharging for chips and refusing to pay some $1 billion in promised rebates.	621260a8e4bd45f7f521e716
Apple	Qualcomm	"
Qualcomm has been a supplier of components to Apple for years but the relationship took a bad turn last year when "	 accused 	 of overcharging for chips and refusing to pay some $1 billion in promised rebates.	621260a8e4bd45f7f521e716
Qualcomm	Apple	"
Qualcomm has been a supplier of components to Apple for years but the relationship took a bad turn last year when Apple accused "	" of overcharging for chips and refusing to pay some $1 billion in promised rebates.
“There is speculation that "	 might drop Qualcomm altogether for its next generation phones and I think that's part of the reason the stock is down today,” said Angelo Zino, an analyst from CFRA Research.	621260a8e4bd45f7f521e716
Apple	Qualcomm	"
“There is speculation that "	 might drop 	 altogether for its next generation phones and I think that's part of the reason the stock is down today,” said Angelo Zino, an analyst from CFRA Research.	621260a8e4bd45f7f521e716
Qualcomm	Apple	"
The report from KGI came as Broadcom Ltd (AVGO.O) sweetened its bid to buy "	" to more than $121 billion from an earlier $103 billion.
According to technology news website 9TO5MAC, KGI said that Intel could meet "	's technical requirements and offer more competitive prices.	621260a8e4bd45f7f521e716
Qualcomm	Intel	"
As "	" collects license fees on devices that use cellular connections to wireless data networks, more total devices sold often results in higher revenue and profits for the company.
The results come a week after Apple (AAPL.O) calmed Wall Street nerves with an improvement in sales in China, the world's largest smartphones market, and follow strong earnings from chipmaker "	 (INTC.O) last month.	621260a8e4bd45f7f521e717
Intel	Qualcomm	"
The results come a week after Apple (AAPL.O) calmed Wall Street nerves with an improvement in sales in China, the world's largest smartphones market, and follow strong earnings from chipmaker "	" (INTC.O) last month.
"	, which generates most of its profits by licensing its technology to mobile phone makers and others, said revenue in the segment was $1.16 billion, beating estimates of $1.10 billion, according to FactSet.	621260a8e4bd45f7f521e717
Qualcomm	Apple	"
As "	" collects license fees on devices that use cellular connections to wireless data networks, more total devices sold often results in higher revenue and profits for the company.
The results come a week after "	 (AAPL.O) calmed Wall Street nerves with an improvement in sales in China, the world's largest smartphones market, and follow strong earnings from chipmaker Intel (INTC.O) last month.	621260a8e4bd45f7f521e717
Apple	Qualcomm	"
The results come a week after "	" (AAPL.O) calmed Wall Street nerves with an improvement in sales in China, the world's largest smartphones market, and follow strong earnings from chipmaker Intel (INTC.O) last month.
"	, which generates most of its profits by licensing its technology to mobile phone makers and others, said revenue in the segment was $1.16 billion, beating estimates of $1.10 billion, according to FactSet.	621260a8e4bd45f7f521e717
Taiwan	Qualcomm	The 	 manufacturer, whose clients also include 	, has benefited from the COVID-19 pandemic as corporations seek to add more bandwidth for remote workers and people working from home invest in premium devices.	621260a9e4bd45f7f521e71c
Qualcomm	Taiwan	The Taiwanese manufacturer, whose clients also include 	", has benefited from the COVID-19 pandemic as corporations seek to add more bandwidth for remote workers and people working from home invest in premium devices.
TSMC's share price has jumped more than 11% in 2021, giving the stock a market value of $560.7 billion.
($1 = 28.0050 "	 dollars)	621260a9e4bd45f7f521e71c
Taiwan	Apple	"Tyrone Siu
TAIPEI (Reuters) - "	 (TSMC) posted on Thursday a record high quarterly profit, boosted by demand for devices requiring high-end chips as the pandemic forces people to work from home and for 	's new iPhone.	621260a9e4bd45f7f521e71c
Apple	Taiwan	"
Revenue for the "	" supplier rose 22% to $12.68 billion, versus its earlier estimated range of $12.4 billion to $12.7 billion.
Analysts said sales of advanced chips have been boosted by strong demand for high-end smartphones including the iPhone 12 as well as for devices equipped with new technology such as fifth-generation (5G) networking and artificial intelligence.
The "	 manufacturer, whose clients also include Qualcomm, has benefited from the COVID-19 pandemic as corporations seek to add more bandwidth for remote workers and people working from home invest in premium devices.	621260a9e4bd45f7f521e71c
Apple	Qualcomm	"
Revenue for the "	" supplier rose 22% to $12.68 billion, versus its earlier estimated range of $12.4 billion to $12.7 billion.
Analysts said sales of advanced chips have been boosted by strong demand for high-end smartphones including the iPhone 12 as well as for devices equipped with new technology such as fifth-generation (5G) networking and artificial intelligence.
The Taiwanese manufacturer, whose clients also include "	, has benefited from the COVID-19 pandemic as corporations seek to add more bandwidth for remote workers and people working from home invest in premium devices.	621260a9e4bd45f7f521e71c
Apple	Qualcomm	"
Liu also identified gro"	"reas as artificial intelligence and fifth-generation mobile communication networks (5G), the chips for which TSMC is already offering.
“Current 5G development progress points to 2019 as the year of volume deployment,” Liu said.
Liu said development of 5 nm technology is on schedule and that TSMC expected “risk” production in the first half of 2019 at a fab for which construction will begin early next yea"		621260a9e4bd45f7f521e71d
Taiwan	Apple	TAIPEI, Dec 7 (Reuters) - 	 (TSMC), supplier to 	, on Thursday said a planned new factory would cost the world's largest contract chipmaker around $20 billion.	621260a9e4bd45f7f521e71d
Apple	Taiwan	TAIPEI, Dec 7 (Reuters) - Taiwan (TSMC), supplier to 	", on Thursday said a planned new factory would cost the world's largest contract chipmaker around $20 billion.
TSMC in September said it would build a semiconductor fabrication plant (fab) in "	 dedicated to 3 nanometre (nm) technology.	621260a9e4bd45f7f521e71d
Taiwan	Apple	TAIPEI, Dec 7 (Reuters) - 	 (TSMC), supplier to 	, on Thursday said a planned new factory would cost the world's largest contract chipmaker around $20 billion.	621260a9e4bd45f7f521e71d
Apple	Taiwan	TAIPEI, Dec 7 (Reuters) - Taiwan (TSMC), supplier to 	", on Thursday said a planned new factory would cost the world's largest contract chipmaker around $20 billion.
TSMC in September said it would build a semiconductor fabrication plant (fab) in "	 dedicated to 3 nanometre (nm) technology.	621260a9e4bd45f7f521e71d
Intel	Qualcomm	"
* U.S.-based "	 and 	 are in talks to jointly invest about 30 billion yen ($378 million) in debt-stricken Japanese consumer electronics maker Sharp Corp, two sources familiar with the matter said on Wednesday.	621260a9e4bd45f7f521e720
Qualcomm	MediaTek	"
"	"'s shares dropped 1.7 percent on Monday. Smaller U.S. optical components firms such as the ZTE supplier Acacia Communications fell more steeply.
Counterpoint's Shah said ZTE could now look to rivals like Samsung, Taiwan's "	 or China's Spreadtrum for alternative chips.	621260a9e4bd45f7f521e721
ZTE	Qualcomm	A move by the United States to ban American firms selling components to the Chinese telecom equipment maker 	 will also hit a target closer to home: 	, a U.S. company that is a major supplier of chips for ZTE's phones.	621260a9e4bd45f7f521e721
Qualcomm	ZTE	A move by the United States to ban American firms selling components to the Chinese telecom equipment maker ZTE will also hit a target closer to home: 	, a U.S. company that is a major supplier of chips for 	's phones.	621260a9e4bd45f7f521e721
ZTE	Qualcomm	A move by the United States to ban American firms selling components to the Chinese telecom equipment maker ZTE will also hit a target closer to home: Qualcomm, a U.S. company that is a major supplier of chips for 	"'s phones.
A booth of U.S. chipmaker "	 is pictured at an expo in Beijing, China, September 27, 2017.	621260a9e4bd45f7f521e721
Qualcomm	ZTE	"
A booth of U.S. chipmaker "	" is pictured at an expo in Beijing, China, September 27, 2017. Picture taken September 27, 2017. REUTERS/Stringer
The U.S. Department of Commerce slapped a seven-year ban on sales to "	 on Monday for breaking terms of an agreement reached last year after it was caught illegally shipping goods to Iran.	621260a9e4bd45f7f521e721
ZTE	Qualcomm	"REUTERS/Stringer
The U.S. Department of Commerce slapped a seven-year ban on sales to "	" on Monday for breaking terms of an agreement reached last year after it was caught illegally shipping goods to Iran.
Caught in the crossfire is "	, whose products account for the lion's share of chips inside ZTE smartphones.	621260a9e4bd45f7f521e721
Qualcomm	ZTE	"
Caught in the crossfire is "	, whose products account for the lion's share of chips inside 	 smartphones.	621260a9e4bd45f7f521e721
ZTE	Qualcomm	“If you look at 	 it sells around 45 million smartphones per year globally, and almost half of them have 	 chips,” said Neil Shah, research director at Counterpoint Research.	621260a9e4bd45f7f521e721
Qualcomm	ZTE	“If you look at ZTE it sells around 45 million smartphones per year globally, and almost half of them have 	" chips,” said Neil Shah, research director at Counterpoint Research.
“So if you look at an average of 25 dollars per chip set that's close to half a billion dollars in revenue.”
Canalys, a technology consultancy, estimate that a higher 65 percent of "	 phones contain Qualcomm chips.	621260a9e4bd45f7f521e721
ZTE	Qualcomm	"
Canalys, a technology consultancy, estimate that a higher 65 percent of "	 phones contain 	 chips.	621260a9e4bd45f7f521e721
Qualcomm	ZTE	"
SNAPDRAGON
"	", which has government and defense contracts at home, is closely tied to the United States government; it is also grappling with regulator approval in China for a $44 billion takeover of NXP Semiconductors.
It may, ironically, get hit by the "	 issues more in the United States than in China.	621260a9e4bd45f7f521e721
ZTE	Qualcomm	"
"	" held 11.2 percent of the U.S. market last year, according to data from the consultancy Canalys.
Its phones in the United States use chip sets and processors from "	, according to company specifications on its U.S. website, which showed all its “signature” phones using Qualcomm chip sets such as Snapdragon 820 and Snapdragon 617.	621260a9e4bd45f7f521e721
Qualcomm	ZTE	"
“Most carriers want "	 chip sets in the United States, so basically they are in deep trouble,” said Shah, referring to 	.	621260a9e4bd45f7f521e721
ZTE	Qualcomm	"
“Most carriers want Qualcomm chip sets in the United States, so basically they are in deep trouble,” said Shah, referring to "	". He estimated the United States at close to one fourth of the company's handset business. “They'd be losing one of their biggest markets.”
"	 was not immediately available for comment.	621260a9e4bd45f7f521e721
Qualcomm	ZTE	"
"	" was not immediately available for comment.
TRIPLE THREAT
The "	 issue could create a triple threat for Qualcomm: the loss of an important customer, rivals bolstered as they step in to fill the vacuum, and a potential hit as China looks to retaliate against the United States.	621260a9e4bd45f7f521e721
ZTE	Qualcomm	"
TRIPLE THREAT
The "	 issue could create a triple threat for 	: the loss of an important customer, rivals bolstered as they step in to fill the vacuum, and a potential hit as China looks to retaliate against the United States.	621260a9e4bd45f7f521e721
Qualcomm	ZTE	"
TRIPLE THREAT
The ZTE issue could create a triple threat for "	": the loss of an important customer, rivals bolstered as they step in to fill the vacuum, and a potential hit as China looks to retaliate against the United States.
China's commerce ministry said Tuesday that it will closely monitor the "	 case and be prepared to take action to protect the interests of Chinese firms.	621260a9e4bd45f7f521e721
ZTE	Qualcomm	"
China's commerce ministry said Tuesday that it will closely monitor the "	" case and be prepared to take action to protect the interests of Chinese firms.
The impact of the trade war is already being felt. "	 withdrew, and plans to refile, an antitrust application for its pivotal NXP deal on Saturday at the request of China's commerce ministry, sources told Reuters.	621260a9e4bd45f7f521e721
Qualcomm	ZTE	"
"	's shares dropped 1.7 percent on Monday. Smaller U.S. optical components firms such as the 	 supplier Acacia Communications fell more steeply.	621260a9e4bd45f7f521e721
Apple	Qualcomm	But in the United States it is the fourth largest smartphone vendor after iPhone maker 	" and Samsung Electronics and LG Electronics of South Korea.
ZTE held 11.2 percent of the U.S. market last year, according to data from the consultancy Canalys.
Its phones in the United States use chip sets and processors from "	, according to company specifications on its U.S. website, which showed all its “signature” phones using Qualcomm chip sets such as Snapdragon 820 and Snapdragon 617.	621260a9e4bd45f7f521e721
Qualcomm	MediaTek	"
"	"'s shares dropped 1.7 percent on Monday. Smaller U.S. optical components firms such as the ZTE supplier Acacia Communications fell more steeply.
Counterpoint's Shah said ZTE could now look to rivals like Samsung, Taiwan's "	 or China's Spreadtrum for alternative chips.	621260a9e4bd45f7f521e721
Qualcomm	Intel	"
Due to increasing demand for these devices, Jacobs said during his presentation at the company's annual investor day, the weak economy has had a “somewhat muted” effect on "	".
“The fact they're still looking at strong growth, that they have relatively conservative assumptions behind that growth, is promising,” said Bernstein analyst Stacy Rasgon.
Given that semiconductor companies such as "	 and Texas Instruments have been giving bleak forecasts in their quarterly reports, Rasgon said Qualcomm's guidance looked impressive compared with his expectations for the semiconductor industry.	621260a9e4bd45f7f521e722
Intel	Qualcomm	"
Given that semiconductor companies such as "	 and Texas Instruments have been giving bleak forecasts in their quarterly reports, Rasgon said 	's guidance looked impressive compared with his expectations for the semiconductor industry.	621260a9e4bd45f7f521e722
Taiwan	Shanghai Fosun Pharmaceutical	"
Last month, facing public pressure about the slow pace of Taiwan's inoculation programme, the government agreed to allow Gou and TSMC to negotiate on its behalf for the vaccines, which would be donated to "	"'s government for distribution. read more
The agreements were reached with a subsidiary of "	 (600196.SS), which has a contract with BioNTech to sell the COVID-19 vaccines in China, Hong Kong, Macau and Taiwan, the sources said.	621260aae4bd45f7f521e726
Shanghai Fosun Pharmaceutical	Taiwan	The agreements were reached with a subsidiary of 	 (600196.SS), which has a contract with BioNTech to sell the COVID-19 vaccines in China, Hong Kong, Macau and 	, the sources said.	621260aae4bd45f7f521e726
Taiwan	Apple	"
Taiwan's government has said any BioNTech vaccines should be ""produced in the original factory with the original packaging"" and be directly delivered to "	".
Neither Foxconn, a major "	 (AAPL.O) supplier, nor Fosun responded to requests for comment outside of business hours.	621260aae4bd45f7f521e726
Apple	Taiwan	"
Neither Foxconn, a major "	" (AAPL.O) supplier, nor Fosun responded to requests for comment outside of business hours.
TSMC said in a brief emailed statement it was still a work in progress and ""no further information is available at this time"".
BioNTech declined to comment.
A second source told Reuters the German government, which has said it has been trying to help "	 obtain the BioNTech vaccines, had been trying to speed up the talks.	621260aae4bd45f7f521e726
Taiwan	Shanghai Fosun Pharmaceutical	"
Last month, facing public pressure about the slow pace of Taiwan's inoculation programme, the government agreed to allow Gou and TSMC to negotiate on its behalf for the vaccines, which would be donated to "	"'s government for distribution.
The agreements were reached with a subsidiary of "	, which has a contract with BioNTech to sell the COVID-19 vaccines in China, Hong Kong, Macau and Taiwan, the sources said.	621260aae4bd45f7f521e727
Shanghai Fosun Pharmaceutical	Taiwan	"
The agreements were reached with a subsidiary of "	, which has a contract with BioNTech to sell the COVID-19 vaccines in China, Hong Kong, Macau and 	, the sources said.	621260aae4bd45f7f521e727
Taiwan	Apple	"
Taiwan's government has said any BioNTech vaccines should be “produced in the original factory with the original packaging” and be directly delivered to "	".
Neither Foxconn, a major "	 supplier, nor Fosun responded to requests for comment outside of business hours.	621260aae4bd45f7f521e727
Apple	Taiwan	"
Neither Foxconn, a major "	" supplier, nor Fosun responded to requests for comment outside of business hours.
TSMC said in a brief emailed statement it was still a work in progress and “no further information is available at this time”.
BioNTech declined to comment.
A second source told Reuters the German government, which has said it has been trying to help "	 obtain the BioNTech vaccines, had been trying to speed up the talks.	621260aae4bd45f7f521e727
Safran	GE	Those in France's 	 (SAF.PA), which makes engines for the MAX in a joint venture with 	 (GE.N), dipped 1.5%.	621260aae4bd45f7f521e72b
GE	Safran	Those in France's Safran (SAF.PA), which makes engines for the MAX in a joint venture with 	" (GE.N), dipped 1.5%.
"	 has warned that if the aircraft's grounding lasts until the end of the year, its cash conversion could dip below its targeted 50-55% range of recurring operating income.	621260aae4bd45f7f521e72b
Safran	GE	"
"	" has warned that if the aircraft's grounding lasts until the end of the year, its cash conversion could dip below its targeted 50-55% range of recurring operating income.
Unlike most suppliers, it is paid mostly once the airplanes are delivered to the buyer.
"	 has estimated the MAX grounding would reduce its cash flow by $1.4 billion in 2019.	621260aae4bd45f7f521e72b
Boeing	Astronics	"
Canaccord Genuity analyst Ken Herbert said there will be “some step-down in production across the supply chain”, but he believes that "	" will continue to absorb much of the financial impact and will keep its supply chain relatively supported.
United Technologies Corp (UTX.N), which makes landing systems, avionics and interior lighting for the MAX, and Arconic Inc (ARNC.N) that supplies aluminum sheet and plate for the airplane dipped about 1%.
Shares of other suppliers such as wing flaps maker Ducommun (DCO.N), composite materials supplier Hexcel (HXL.N), and aircraft exterior lighting provider "	 ATRO.N were down 0.5% to 4%.	621260aae4bd45f7f521e72b
Astronics	Boeing	"
Shares of other suppliers such as wing flaps maker Ducommun (DCO.N), composite materials supplier Hexcel (HXL.N), and aircraft exterior lighting provider "	 ATRO.N were down 0.5% to 4%. The three companies get about 10% to 15% of their annual sales from 	, according to analysts.	621260aae4bd45f7f521e72b
Boeing	Safran	"
Shares of Senior, whose aerospace unit counts "	 as its biggest customer with 15% of the division's sales, fell more than 10%. Those in France's 	 (SAF.PA), which makes engines for the MAX in a joint venture with GE (GE.N), dipped 1.5%.	621260aae4bd45f7f521e72b
Boeing	Hexcel	"
Canaccord Genuity analyst Ken Herbert said there will be “some step-down in production across the supply chain”, but he believes that "	" will continue to absorb much of the financial impact and will keep its supply chain relatively supported.
United Technologies Corp (UTX.N), which makes landing systems, avionics and interior lighting for the MAX, and Arconic Inc (ARNC.N) that supplies aluminum sheet and plate for the airplane dipped about 1%.
Shares of other suppliers such as wing flaps maker Ducommun (DCO.N), composite materials supplier "	 (HXL.N), and aircraft exterior lighting provider Astronics ATRO.N were down 0.5% to 4%.	621260aae4bd45f7f521e72b
Hexcel	Boeing	"
Shares of other suppliers such as wing flaps maker Ducommun (DCO.N), composite materials supplier "	 (HXL.N), and aircraft exterior lighting provider Astronics ATRO.N were down 0.5% to 4%. The three companies get about 10% to 15% of their annual sales from 	, according to analysts.	621260aae4bd45f7f521e72b
Spirit	Boeing	"
"	 said it was working with 	 to determine the financial implication of the production halt.	621260aae4bd45f7f521e72b
Boeing	GE	"
Shares of Senior, whose aerospace unit counts "	 as its biggest customer with 15% of the division's sales, fell more than 10%. Those in France's Safran (SAF.PA), which makes engines for the MAX in a joint venture with 	 (GE.N), dipped 1.5%.	621260aae4bd45f7f521e72b
GE	Boeing	"
"	" has estimated the MAX grounding would reduce its cash flow by $1.4 billion in 2019. Its shares were down marginally at $11.16.
Canaccord Genuity analyst Ken Herbert said there will be “some step-down in production across the supply chain”, but he believes that "	 will continue to absorb much of the financial impact and will keep its supply chain relatively supported.	621260aae4bd45f7f521e72b
Boeing	Ducommun	"
Canaccord Genuity analyst Ken Herbert said there will be “some step-down in production across the supply chain”, but he believes that "	" will continue to absorb much of the financial impact and will keep its supply chain relatively supported.
United Technologies Corp (UTX.N), which makes landing systems, avionics and interior lighting for the MAX, and Arconic Inc (ARNC.N) that supplies aluminum sheet and plate for the airplane dipped about 1%.
Shares of other suppliers such as wing flaps maker "	 (DCO.N), composite materials supplier Hexcel (HXL.N), and aircraft exterior lighting provider Astronics ATRO.N were down 0.5% to 4%.	621260aae4bd45f7f521e72b
Ducommun	Boeing	"
Shares of other suppliers such as wing flaps maker "	 (DCO.N), composite materials supplier Hexcel (HXL.N), and aircraft exterior lighting provider Astronics ATRO.N were down 0.5% to 4%. The three companies get about 10% to 15% of their annual sales from 	, according to analysts.	621260aae4bd45f7f521e72b
Boeing	Southwest	"
"	" 737 Max aircraft sit on the tarmac at the Renton Municipal Airport in Renton, Washington, U.S. December 16, 2019. REUTERS/Lindsey Wasson
The 737 MAX has been grounded since March after two crashes in Indonesia and Ethiopia killed 346 people within five months, costing the plane manufacturer more than $9 billion so far.
Britain's Senior Plc, which makes parts including airframes and engine build-up tubes for the MAX, was one of the first suppliers to comment on the suspension, saying it was working closely with the U.S. planemaker to assess the impact of a production shutdown on its 2020 sales.
The fallout extended to carriers, with "	 extending cancellations of MAX flights by another five weeks through April 13, due to the continued uncertainty around the timing of the aircraft's return to service.	621260aae4bd45f7f521e72c
Southwest	Boeing	"
The fallout extended to carriers, with "	" extending cancellations of MAX flights by another five weeks through April 13, due to the continued uncertainty around the timing of the aircraft's return to service.
“We do expect some step-down in production across the supply chain,” Canaccord Genuity analyst Ken Herbert said.
However, Herbert believes that "	 will continue to absorb much of the financial impact and will keep its supply chain relatively supported.	621260aae4bd45f7f521e72c
Safran	Hexcel	"
"	", which produces engines for the MAX aircraft with General Electric, has warned if the aircraft's grounding lasts until the end of the year, its cash conversion could dip below its targeted 50-55% range of recurring operating income.
Unlike most suppliers, it is paid mostly once the airplanes are delivered to the airline buyer.
GE has already estimated the MAX grounding to reduce its cash flow by $1.4 billion in 2019.
Shares of other suppliers such as wing flaps maker Ducommun, composite materials supplier "	, and aircraft exterior lighting provider Astronics were down between 10% and 15%.	621260aae4bd45f7f521e72c
Boeing	Safran	"
However, Herbert believes that "	" will continue to absorb much of the financial impact and will keep its supply chain relatively supported.
The U.S. planemaker's shares fell 1.3% in light premarket trading to $322. Shares of France's "	 and Senior Plc were down between 9% and 3%, respectively.	621260aae4bd45f7f521e72c
Safran	Boeing	Shares of France's 	 and Senior Plc were down between 9% and 3%, respectively. 	 is biggest customer for the British engineer's aerospace unit, making up 15 percent of the division's sales.	621260aae4bd45f7f521e72c
Boeing	Safran	"
“We expect Spirit Aero will see a rate reduction from its current 52 per month, but the exact level has not yet been determined, and we believe negotiations with "	" will likely take into 2020 to finalize,” Herbert wrote in a note.
"	, which produces engines for the MAX aircraft with General Electric, has warned if the aircraft's grounding lasts until the end of the year, its cash conversion could dip below its targeted 50-55% range of recurring operating income.	621260aae4bd45f7f521e72c
Boeing	Spirit	"
Shares of "	's top supplier, 	, were flat at $78.88.	621260aae4bd45f7f521e72c
Spirit	Boeing	"
Analysts say Wichita-Wisconcin based "	 is the most exposed to 	, drawing more than 50% of its annual sales from the MAX.	621260aae4bd45f7f521e72c
Boeing	Spirit	"
Analysts say Wichita-Wisconcin based Spirit is the most exposed to "	", drawing more than 50% of its annual sales from the MAX. The company now risks losing some revenue next year as its production rate of the jet's fuselage and other components come into question.
“We expect "	 Aero will see a rate reduction from its current 52 per month, but the exact level has not yet been determined, and we believe negotiations with Boeing will likely take into 2020 to finalize,” Herbert wrote in a note.	621260aae4bd45f7f521e72c
Spirit	Boeing	"
“We expect "	 Aero will see a rate reduction from its current 52 per month, but the exact level has not yet been determined, and we believe negotiations with 	 will likely take into 2020 to finalize,” Herbert wrote in a note.	621260aae4bd45f7f521e72c
Boeing	Southwest	As a result, 	" is exploring a deal for temporary pilots with Isle of Man-based aircrew and training provider CCL Aviation to supplement its staff pilots, one person with knowledge of the matter said.
“Given the backlog of stored aircraft, that customer acceptance process could drag out,” said "	 (LUV.N) Chief Revenue Officer Andrew Watterson.	621260abe4bd45f7f521e72d
Boeing	Southwest	(Reuters) - Honeywell (HON.N) and Rockwell Collins (COL.N) are expected to win major contracts to supply systems to 	" (BA.N) for its updated 737 Max jetliner, the Wall Street Journal reported, citing two people familiar with the decisions.
If successful in securing a contract, Honeywell will supply the jet's auxiliary power unit and the 737 Max's environmental and engine-bleed systems, while Rockwell Collins will supply the jet's avionics, the Journal said.
737 Max, an updated version of the single-aisle 737 jet, is expected to be delivered in late 2017 to "	 (LUV.N), the Journal said.	621260abe4bd45f7f521e731
Southwest	Boeing	"
737 Max, an updated version of the single-aisle 737 jet, is expected to be delivered in late 2017 to "	" (LUV.N), the Journal said. (link.reuters.com/jyn93t)
“No announcement has been made on who will supply these items” on the 737 Max, "	 spokeswoman Lauren Penning said in an email to the Journal.	621260abe4bd45f7f521e731
Rockwell Collins	Boeing	(Reuters) - Honeywell (HON.N) and 	 (COL.N) are expected to win major contracts to supply systems to 	 (BA.N) for its updated 737 Max jetliner, the Wall Street Journal reported, citing two people familiar with the decisions.	621260abe4bd45f7f521e731
Boeing	Rockwell Collins	(Reuters) - Honeywell (HON.N) and Rockwell Collins (COL.N) are expected to win major contracts to supply systems to 	" (BA.N) for its updated 737 Max jetliner, the Wall Street Journal reported, citing two people familiar with the decisions.
If successful in securing a contract, Honeywell will supply the jet's auxiliary power unit and the 737 Max's environmental and engine-bleed systems, while "	 will supply the jet's avionics, the Journal said.	621260abe4bd45f7f521e731
Rockwell Collins	Boeing	If successful in securing a contract, Honeywell will supply the jet's auxiliary power unit and the 737 Max's environmental and engine-bleed systems, while 	" will supply the jet's avionics, the Journal said.
737 Max, an updated version of the single-aisle 737 jet, is expected to be delivered in late 2017 to Southwest (LUV.N), the Journal said. (link.reuters.com/jyn93t)
“No announcement has been made on who will supply these items” on the 737 Max, "	 spokeswoman Lauren Penning said in an email to the Journal.	621260abe4bd45f7f521e731
Boeing	Rockwell Collins	"
"	 had no immediate comment on the Journal report when contacted by Reuters. Honeywell International and 	 could not immediately be reached for comment by Reuters outside regular U.S. business hours.	621260abe4bd45f7f521e731
GE	Safran	"
The jet will employ a new model of engine, supplied by CFM International, a joint venture between "	 (GE.N) and 	 (SAF.PA), the Journal reported.	621260abe4bd45f7f521e731
Boeing	Safran	"(link.reuters.com/jyn93t)
“No announcement has been made on who will supply these items” on the 737 Max, "	" spokeswoman Lauren Penning said in an email to the Journal.
The jet will employ a new model of engine, supplied by CFM International, a joint venture between GE (GE.N) and "	 (SAF.PA), the Journal reported.	621260abe4bd45f7f521e731
Safran	Boeing	"
The jet will employ a new model of engine, supplied by CFM International, a joint venture between GE (GE.N) and "	" (SAF.PA), the Journal reported.
"	 had no immediate comment on the Journal report when contacted by Reuters.	621260abe4bd45f7f521e731
Rockwell Collins	Boeing	(Reuters) - Honeywell (HON.N) and 	 (COL.N) are expected to win major contracts to supply systems to 	 (BA.N) for its updated 737 Max jetliner, the Wall Street Journal reported, citing two people familiar with the decisions.	621260abe4bd45f7f521e731
Boeing	Rockwell Collins	(Reuters) - Honeywell (HON.N) and Rockwell Collins (COL.N) are expected to win major contracts to supply systems to 	" (BA.N) for its updated 737 Max jetliner, the Wall Street Journal reported, citing two people familiar with the decisions.
If successful in securing a contract, Honeywell will supply the jet's auxiliary power unit and the 737 Max's environmental and engine-bleed systems, while "	 will supply the jet's avionics, the Journal said.	621260abe4bd45f7f521e731
Rockwell Collins	Boeing	If successful in securing a contract, Honeywell will supply the jet's auxiliary power unit and the 737 Max's environmental and engine-bleed systems, while 	" will supply the jet's avionics, the Journal said.
737 Max, an updated version of the single-aisle 737 jet, is expected to be delivered in late 2017 to Southwest (LUV.N), the Journal said. (link.reuters.com/jyn93t)
“No announcement has been made on who will supply these items” on the 737 Max, "	 spokeswoman Lauren Penning said in an email to the Journal.	621260abe4bd45f7f521e731
Boeing	Rockwell Collins	"
"	 had no immediate comment on the Journal report when contacted by Reuters. Honeywell International and 	 could not immediately be reached for comment by Reuters outside regular U.S. business hours.	621260abe4bd45f7f521e731
Honeywell	Boeing	(Reuters) - 	 (HON.N) and Rockwell Collins (COL.N) are expected to win major contracts to supply systems to 	 (BA.N) for its updated 737 Max jetliner, the Wall Street Journal reported, citing two people familiar with the decisions.	621260abe4bd45f7f521e731
Boeing	Honeywell	(Reuters) - Honeywell (HON.N) and Rockwell Collins (COL.N) are expected to win major contracts to supply systems to 	" (BA.N) for its updated 737 Max jetliner, the Wall Street Journal reported, citing two people familiar with the decisions.
If successful in securing a contract, "	 will supply the jet's auxiliary power unit and the 737 Max's environmental and engine-bleed systems, while Rockwell Collins will supply the jet's avionics, the Journal said.	621260abe4bd45f7f521e731
Honeywell	Boeing	If successful in securing a contract, 	" will supply the jet's auxiliary power unit and the 737 Max's environmental and engine-bleed systems, while Rockwell Collins will supply the jet's avionics, the Journal said.
737 Max, an updated version of the single-aisle 737 jet, is expected to be delivered in late 2017 to Southwest (LUV.N), the Journal said. (link.reuters.com/jyn93t)
“No announcement has been made on who will supply these items” on the 737 Max, "	 spokeswoman Lauren Penning said in an email to the Journal.	621260abe4bd45f7f521e731
Boeing	Honeywell	"
"	 had no immediate comment on the Journal report when contacted by Reuters. 	 and Rockwell Collins could not immediately be reached for comment by Reuters outside regular U.S. business hours.	621260abe4bd45f7f521e731
Boeing	GE	"(link.reuters.com/jyn93t)
“No announcement has been made on who will supply these items” on the 737 Max, "	" spokeswoman Lauren Penning said in an email to the Journal.
The jet will employ a new model of engine, supplied by CFM International, a joint venture between "	 (GE.N) and Safran (SAF.PA), the Journal reported.	621260abe4bd45f7f521e731
GE	Boeing	"
The jet will employ a new model of engine, supplied by CFM International, a joint venture between "	" (GE.N) and Safran (SAF.PA), the Journal reported.
"	 had no immediate comment on the Journal report when contacted by Reuters.	621260abe4bd45f7f521e731
